shares.19,likes.21,likes.23,likes.29,shares.30,shares.35,shares.36,likes.51,likes.58,shares.64,likes.67,likes.68,likes.72,likes.73,shares.75,likes.76,likes.88,likes.89,shares.91,likes.99,likes.103,shares.104,likes.122,likes.124,views.136,shares.138,likes.168,views.168
2350,3012,3196,3541,3500,3704,3738,3941,3993,4476,4035,4040,4075,4082,4660,4104,4151,4152,4784,4174,4183,4849,4199,4200,347725,4894,4225,351137
453,1407,1426,1500,529,540,540,1575,1586,569,1592,1592,1595,1595,569,1597,1603,1604,571,1610,1611,573,1617,1617,87611,576,1617,88149
228,997,1029,1092,282,287,289,1156,1165,311,1176,1177,1181,1181,316,1181,1185,1186,321,1189,1189,324,1192,1192,115972,329,1193,116597
224763,70952,74879,83501,309940,343449,349943,105244,108861,433353,112426,112717,113667,113863,444513,114440,116471,116615,453550,117610,117918,457167,119266,119393,18460807,462571,121472,18655415
2498,1197,1233,1304,3292,3632,3724,1419,1429,5042,1443,1444,1450,1451,5319,1456,1476,1477,5678,1484,1487,5840,1498,1499,421087,6344,1517,436438
611,3189,3244,3401,681,703,708,3568,3595,750,3610,3611,3613,3614,758,3619,3626,3626,762,3630,3635,766,3644,3645,156453,780,3668,157322
1764,6023,6165,6545,2222,2357,2378,6984,7069,2820,7256,7274,7379,7405,2995,7470,7557,7562,3108,7635,7649,3185,7686,7689,646840,3257,7744,655080
40381,13399,15983,22449,116524,161930,167273,69996,82425,366619,88977,90756,97740,98920,420332,101737,108246,108379,451405,113608,114890,478213,118148,118363,17777063,502471,121730,18545567
10552,8157,8408,8955,13907,14942,15147,9987,10197,18554,10432,10463,10558,10578,19445,10616,10768,10776,20293,10879,10902,20765,11042,11066,2040797,21505,11393,2094083
1957,1902,1978,2110,2636,2729,2740,2300,2325,3304,2346,2346,2355,2357,3450,2361,2370,2372,3536,2389,2399,3610,2410,2414,226011,3667,2432,228012
1555,4206,4294,4450,1792,1852,1864,4753,4810,2124,4871,4876,4880,4881,2156,4884,4901,4904,2208,4912,4916,2228,4930,4931,201226,2276,4980,204031
8981,10872,11071,11473,10496,11002,11098,12349,12455,12131,12577,12584,12607,12610,12263,12618,12662,12665,12343,12686,12690,12366,12710,12714,857250,12402,12757,861457
1248,3065,3149,3338,1511,1592,1628,3620,3631,1922,3658,3661,3672,3675,1962,3681,3705,3706,2008,3713,3713,2022,3715,3716,238479,2034,3718,239391
310,1370,1414,1481,347,372,376,1622,1636,405,1645,1648,1652,1653,409,1655,1662,1662,414,1663,1663,416,1663,1664,99674,418,1664,99903
20434,10326,10594,12108,28914,32389,33091,14769,15553,45246,16189,16209,16335,16400,47491,16635,17298,17327,51183,17498,17608,52877,17993,18024,2342649,56428,18379,2401060
527,1629,1680,1803,619,638,641,1936,1940,678,1951,1951,1953,1954,690,1955,1958,1958,693,1959,1960,697,1963,1963,84399,699,1963,84662
834,1144,1232,1362,1275,1369,1378,1549,1563,1709,1585,1589,1606,1610,1947,1615,1625,1625,2013,1626,1626,2019,1629,1629,101610,2020,1631,101959
328,2719,2807,2960,376,384,385,3098,3110,412,3117,3117,3124,3125,417,3126,3130,3130,417,3131,3133,417,3134,3134,166547,417,3135,166887
9345,10107,10406,10924,11414,12151,12302,12029,12168,14399,12303,12316,12355,12359,14684,12381,12452,12455,14928,12486,12497,15018,12532,12533,916079,15107,12579,921144
3213,4240,4375,4633,4030,4186,4248,4999,5031,5130,5086,5088,5113,5116,5391,5129,5163,5167,5512,5190,5196,5594,5217,5219,474592,5726,5251,482693
110,551,566,614,125,132,132,670,676,145,688,689,690,690,146,691,692,692,146,692,692,147,693,693,68402,147,693,68552
3424,14783,15229,16178,4312,4699,4781,17646,17755,5589,17908,17916,17964,17974,5766,18001,18071,18076,5907,18118,18128,5952,18163,18166,934213,6016,18213,940889
16851,23492,24688,27646,26746,29311,29760,31915,32664,39763,33209,33270,33510,33562,41443,33702,34097,34111,42789,34338,34418,43687,34622,34637,3378814,44751,35020,3443341
68287,130252,140010,157950,98956,107092,108694,193812,198367,143292,204022,204681,206656,207068,151189,208255,210546,210755,156422,212384,212716,159142,214137,214258,12262758,162467,217670,12534857
547,2190,2259,2406,699,732,739,2584,2591,837,2601,2601,2605,2606,847,2610,2619,2619,853,2623,2624,859,2627,2627,270522,866,2630,271561
30822,35104,37246,42973,51183,56675,57648,50702,51754,72040,52749,52845,53222,53308,74738,53540,54154,54185,76985,54536,54644,78067,54907,54927,5295389,79036,55207,5348076
943,1821,1878,1989,1082,1101,1109,2089,2099,1161,2113,2115,2119,2120,1167,2122,2131,2132,1177,2134,2137,1180,2141,2141,217109,1184,2142,219110
2655,7435,7554,7810,3091,3183,3198,8110,8145,3496,8164,8166,8175,8177,3539,8186,8208,8211,3569,8230,8230,3584,8238,8240,385407,3602,8248,386750
2367,5999,6160,6421,2729,2794,2810,6689,6718,3121,6734,6735,6744,6745,3148,6754,6768,6769,3165,6775,6777,3169,6782,6782,344427,3171,6793,346060
1154,2814,2866,2956,1276,1306,1311,3046,3050,1342,3052,3052,3054,3054,1343,3054,3056,3056,1343,3058,3058,1344,3059,3060,107851,1344,3062,108110
1579,2164,2185,2265,1839,1863,1870,2333,2337,1998,2341,2342,2343,2343,2009,2344,2346,2347,2016,2347,2347,2019,2351,2351,140023,2031,2351,140379
7991,6295,6479,6997,10470,11653,11880,8093,8255,16227,8484,8507,8564,8573,17049,8629,8782,8793,17854,8881,8895,18174,8965,8971,1429241,18613,9072,1459499
1024,3285,3355,3486,1175,1237,1247,3659,3672,1360,3684,3685,3686,3687,1369,3690,3694,3694,1381,3697,3698,1384,3703,3703,144495,1396,3713,145033
258,783,798,825,288,301,303,859,859,313,863,863,863,863,313,863,863,863,313,865,865,314,865,865,91566,315,866,91692
1557,2223,2269,2385,1948,2082,2097,2588,2600,2275,2608,2609,2610,2610,2285,2614,2618,2619,2315,2635,2638,2350,2648,2649,237918,2380,2662,238945
1233,2304,2348,2429,1423,1468,1475,2537,2547,1519,2551,2552,2553,2553,1525,2555,2557,2557,1528,2559,2559,1528,2561,2561,127025,1535,2567,127362
1293,2622,2691,2835,1525,1599,1614,2989,3005,1728,3016,3016,3023,3025,1740,3030,3038,3038,1746,3041,3042,1765,3049,3050,182221,1777,3057,182856
1944,1948,2050,2227,2608,2828,2865,2505,2529,3298,2556,2557,2566,2568,3345,2574,2584,2584,3393,2593,2594,3411,2601,2601,167711,3456,2632,171804
539,1215,1242,1310,664,707,710,1391,1392,770,1393,1393,1395,1395,775,1396,1399,1399,784,1400,1401,788,1403,1403,133973,799,1416,136407
469,1869,1926,2022,516,524,526,2076,2081,537,2085,2086,2090,2090,537,2091,2094,2094,539,2095,2095,539,2096,2096,178218,539,2099,178574
849,1883,1944,2033,975,1010,1015,2120,2122,1067,2127,2129,2132,2132,1069,2133,2137,2137,1079,2138,2138,1081,2143,2144,195516,1089,2147,196439
853,1855,1894,1959,963,973,977,2019,2029,1011,2032,2033,2038,2038,1018,2041,2048,2049,1024,2053,2053,1028,2054,2055,219831,1036,2064,221235
101823,39025,40728,44090,134674,145881,148076,51576,52415,174315,53224,53292,53519,53564,176922,53651,54022,54048,178807,54214,54260,179481,54498,54511,12376217,181102,54798,12459800
1122,4092,4188,4336,1273,1287,1292,4464,4470,1344,4477,4477,4480,4481,1350,4483,4487,4488,1353,4491,4493,1355,4495,4495,195804,1357,4512,197053
1945,2978,3056,3213,2584,2763,2801,3562,3625,3573,3747,3764,3805,3808,3798,3825,3865,3868,3919,3895,3900,3969,3924,3926,845458,4042,3951,855608
1584,3340,3395,3541,1902,2019,2037,3697,3713,2187,3722,3723,3725,3727,2196,3732,3741,3741,2197,3743,3745,2199,3745,3745,426300,2204,3753,427615
