dominant_color.histogram[9],general.frame_count,other.clutter_metric,comments.9,views.11,shares.13,shares.14,comments.16,views.18,views.21,shares.21,shares.25,views.26,likes.26,views.28,views.29,views.30,likes.30,likes.31,comments.33,shares.34,likes.34,views.35,likes.35,shares.36,views.37,likes.38,views.39,likes.39,comments.40,likes.40,views.44,shares.44,views.46,comments.46,comments.48,shares.49,likes.50,shares.55,shares.56,likes.56,likes.57,views.58,comments.59,likes.63,likes.64,shares.66,views.67,comments.67,likes.68,shares.69,likes.69,views.70,shares.70,shares.71,likes.72,shares.73,views.75,likes.76,views.78,comments.80,likes.81,shares.82,views.83,likes.85,shares.86,likes.86,comments.87,views.88,comments.88,views.90,shares.90,views.92,likes.93,shares.94,views.96,likes.96,views.97,views.98,comments.98,views.99,comments.99,shares.100,likes.100,views.101,comments.102,likes.102,likes.103,views.104,likes.106,views.109,comments.109,likes.109,views.110,views.112,comments.112,likes.112,shares.116,comments.117,likes.117,comments.118,likes.119,comments.120,likes.120,views.122,shares.122,comments.122,comments.125,shares.126,likes.126,shares.127,comments.129,likes.130,views.132,shares.132,views.133,comments.133,views.134,likes.134,views.136,shares.136,views.137,views.138,shares.138,views.139,likes.139,views.140,likes.141,views.142,views.143,shares.143,likes.143,comments.146,likes.148,comments.149,likes.151,likes.152,shares.153,likes.153,shares.154,comments.154,views.156,comments.156,views.157,likes.158,views.160,shares.160,comments.161,likes.161,shares.162,likes.162,views.163,likes.163,shares.164,comments.164,views.165,shares.165,comments.165,comments.167,likes.168,views.168
0.098788444,2146,0.161409578,205,102824,1834,1922,243,145086,160000,2554,3073,204399,3385,218338,225116,231702,3594,3632,328,3664,3702,247431,3715,3738,253051,3763,259214,3774,339,3784,273798,4022,279751,346,350,4212,3930,4360,4376,3983,3989,303892,357,4021,4025,4501,313368,363,4040,4539,4044,317129,4559,4590,4075,4635,323986,4104,327421,366,4128,4725,331311,4144,4758,4147,368,334170,368,334933,4778,335857,4158,4799,338317,4167,339001,339534,369,340026,369,4832,4176,340914,369,4180,4183,341805,4185,342923,370,4187,343124,343374,371,4190,4867,372,4196,372,4197,372,4197,345549,4879,372,372,4884,4201,4884,372,4201,347283,4885,347394,374,347513,4204,347725,4891,347800,347915,4894,348071,4208,348201,4211,348546,348702,4900,4213,374,4216,375,4220,4220,4913,4220,4913,376,350254,376,350319,4223,350504,4914,376,4223,4915,4223,350716,4223,4916,376,350858,4916,376,376,4225,351137
0.027848101,1185,0.106315749,49,47539,413,420,50,58431,63632,479,508,70276,1464,72452,73276,73954,1510,1518,59,539,1534,76755,1539,540,77540,1549,78090,1551,61,1552,79898,556,80697,61,61,562,1574,567,569,1582,1584,83095,61,1591,1591,569,83904,61,1592,569,1592,84199,569,569,1595,569,84710,1597,85065,61,1601,569,85461,1602,569,1602,61,85809,61,86007,571,86178,1608,571,86461,1609,86510,86570,61,86616,61,573,1610,86685,61,1610,1611,86778,1612,86931,61,1613,86961,86990,61,1614,574,61,1614,61,1616,61,1616,87323,574,61,61,574,1617,574,61,1617,87571,576,87581,61,87590,1617,87611,576,87619,87632,576,87649,1617,87669,1617,87700,87714,576,1617,61,1617,61,1617,1617,578,1617,578,61,87916,61,87937,1617,87998,578,61,1617,578,1617,88042,1617,578,61,88094,578,61,61,1617,88149
0.134232955,1408,0.188502919,123,67652,193,197,142,84539,90592,251,270,98210,1072,100143,100829,101645,1099,1104,164,287,1121,104594,1126,289,105336,1134,105990,1135,165,1136,107911,298,108467,165,165,302,1156,306,308,1162,1163,110720,165,1172,1174,313,111872,165,1177,314,1179,112280,314,314,1181,316,112738,1181,112942,168,1183,317,113302,1184,317,1184,168,113596,168,113738,321,113946,1187,322,114267,1188,114314,114363,169,114386,169,324,1189,114613,169,1189,1189,114778,1190,115032,169,1191,115059,115108,169,1191,327,169,1191,169,1191,169,1191,115599,327,169,169,328,1192,328,169,1192,115874,328,115888,169,115913,1192,115972,329,116006,116046,329,116069,1192,116089,1192,116142,116167,329,1192,170,1192,170,1193,1193,329,1193,329,170,116399,170,116407,1193,116454,329,170,1193,329,1193,116504,1193,329,170,116545,329,170,170,1193,116597
0.0,2914,0.098545017,1350,2699260,130061,146241,3060,6904303,8596340,249687,276018,9882306,78937,10456449,10795434,11115039,85040,86490,5438,336692,90500,12556406,91816,349943,13135505,95376,13652659,96469,5999,97464,14786005,389912,15105085,6386,6480,403915,104760,416682,418599,107882,108368,16299864,6830,111124,111494,436074,17045295,7026,112717,439545,112987,17213448,440508,441391,113667,442978,17398686,114440,17495199,7202,115293,448610,17648251,116005,451151,116175,7293,17815118,7304,17871534,453161,17922689,117060,454522,17993056,117338,18008834,18024343,7370,18039015,7375,456338,117702,18067018,7385,117858,117918,18103167,118135,18175342,7414,118379,18191956,18223530,7441,118668,459751,7466,119006,7469,119114,7475,119162,18337098,460632,7480,7488,461123,119506,461224,7505,119756,18421190,461860,18431441,7521,18441721,120040,18460807,462390,18470194,18479956,462571,18489608,120338,18497991,120435,18511515,18517188,462946,120516,7585,120725,7592,120830,120862,463755,120900,463824,7605,18587936,7607,18594293,121119,18613170,464233,7619,121244,464343,121288,18632836,121330,464418,7626,18643654,464447,7627,7631,121472,18655415
0.0,1885,0.109215624,366,99578,1643,1785,570,170251,191816,2693,3088,222704,1280,231667,235063,238569,1309,1315,769,3547,1334,265606,1348,3724,276867,1375,286876,1379,843,1382,307519,4320,313664,874,886,4525,1418,4655,4679,1424,1426,338308,916,1441,1442,5109,359590,938,1444,5206,1445,364566,5229,5249,1450,5286,370249,1456,372272,952,1461,5433,378063,1470,5548,1472,962,385237,963,387499,5652,389613,1482,5726,393459,1483,394213,394834,975,395283,975,5797,1485,396281,976,1487,1487,397757,1487,403120,983,1488,404200,406109,990,1492,6082,998,1494,999,1496,1000,1496,414175,6153,1000,1001,6180,1500,6188,1005,1504,418616,6244,419271,1010,419901,1504,421087,6306,421836,422550,6344,423424,1507,424348,1507,425876,426598,6439,1509,1028,1512,1029,1512,1512,6495,1512,6502,1030,431283,1030,431770,1513,432868,6541,1032,1515,6548,1515,433862,1516,6565,1033,434799,6573,1033,1035,1517,436438
0.0,995,0.08848237800000001,106,102642,546,558,129,120492,124961,621,642,131802,3329,134484,135632,136657,3419,3436,143,699,3479,141321,3491,708,142598,3523,143607,3528,143,3534,145355,727,145725,143,143,729,3564,740,741,3589,3593,149297,145,3603,3606,751,151028,146,3611,751,3611,151390,752,753,3613,756,152276,3619,153090,148,3623,761,153708,3623,761,3624,148,154163,148,154314,762,154416,3628,763,154597,3629,154644,154714,149,154786,149,764,3632,154970,149,3634,3635,155203,3638,155438,149,3639,155491,155581,149,3642,769,149,3643,149,3644,149,3644,155836,769,149,149,772,3648,773,149,3650,156246,776,156284,149,156319,3651,156453,780,156486,156511,780,156552,3653,156590,3655,156631,156671,783,3656,149,3661,149,3664,3664,787,3665,787,149,157095,149,157120,3667,157188,788,149,3667,789,3667,157266,3668,789,149,157289,789,149,149,3668,157322
0.035105834,1937,0.108687467,418,235529,1511,1566,495,303199,327475,1847,2035,376573,6377,392127,399697,406962,6585,6629,607,2340,6730,435368,6760,2378,443752,6822,451655,6837,618,6856,467072,2492,474306,629,632,2592,6974,2698,2707,7050,7057,517543,650,7158,7184,2849,550530,660,7274,2907,7302,564929,2920,2934,7379,2970,587996,7470,595331,678,7497,3051,603037,7529,3081,7533,682,610999,683,613898,3102,616888,7585,3129,623136,7609,624808,626392,691,627719,692,3167,7642,629969,696,7648,7649,632553,7652,635576,698,7658,636086,637115,699,7664,3212,700,7674,700,7681,700,7683,642002,3225,700,702,3236,7692,3238,703,7697,645608,3250,646008,703,646343,7703,646840,3254,647171,647532,3257,647744,7709,648239,7713,649110,649424,3261,7717,706,7724,707,7730,7730,3269,7732,3269,708,653169,708,653337,7734,653805,3275,708,7739,3275,7740,654287,7741,3277,708,654606,3277,708,708,7744,655080
0.0,7396,0.061271765,375,544434,23934,25140,549,1019428,1724205,56445,83828,2842601,18944,3264113,3507501,3758258,24050,25889,1581,154418,32360,5259071,34222,167273,5586073,37164,5744872,37595,1892,37978,6800620,211246,7833279,2546,2880,289158,67899,333059,339694,78997,80754,11517778,3806,86503,86774,370057,12436494,4020,90756,388500,92702,13146868,395766,402311,97740,412629,14063977,101737,14473847,4725,105572,441248,15104277,107759,447058,107968,4862,15315702,4871,15387879,449527,15571174,110586,460686,16019660,112428,16101216,16180055,5123,16251516,5142,472560,113932,16395193,5202,114573,114890,16609545,115942,16871076,5301,116573,16887554,16912930,5309,116765,487637,5343,117491,5356,117803,5376,117924,17323792,492876,5396,5426,495958,118617,496841,5464,119187,17726116,500778,17744640,5497,17757150,119515,17777063,501743,17792841,17816575,502471,17845277,119775,17875335,119926,17938484,17969566,505557,120100,5565,120440,5578,120694,120789,511412,120902,512145,5624,18356219,5636,18368942,121244,18391734,513708,5647,121323,514237,121364,18441300,121427,515120,5655,18486050,515581,5661,5666,121730,18545567
0.066378845,1853,0.123769232,531,584856,7872,8290,640,880160,1007794,11341,12727,1176488,8748,1227406,1248399,1268232,9019,9088,861,14732,9261,1364652,9313,15147,1401227,9482,1433268,9521,899,9566,1524002,16561,1556861,930,941,17279,9960,17872,17971,10136,10166,1685530,969,10330,10346,18741,1762296,995,10463,19040,10488,1792456,19127,19202,10558,19344,1827328,10616,1842894,1026,10688,19895,1870392,10727,20059,10741,1033,1889138,1033,1898805,20240,1909820,10824,20439,1927928,10859,1931734,1935454,1046,1938991,1047,20630,10885,1946106,1048,10899,10902,1957366,10933,1972121,1054,10957,1974433,1979704,1057,10976,21056,1061,11011,1061,11021,1064,11024,2007054,21186,1066,1072,21276,11091,21295,1077,11134,2032489,21405,2034477,1087,2036510,11179,2040797,21462,2042917,2045160,21505,2047600,11236,2050101,11257,2055317,2057521,21604,11273,1102,11308,1102,11328,11335,21759,11339,21772,1104,2079858,1104,2080783,11355,2084198,21818,1107,11364,21834,11368,2088398,11372,21854,1109,2091053,21866,1109,1114,11393,2094083
0.0,2419,0.117903977,37,88086,1400,1468,46,119871,133829,2123,2404,153233,2048,159161,162096,164946,2130,2145,63,2719,2170,172419,2176,2740,174335,2194,177851,2204,65,2217,188147,3033,190843,69,69,3153,2294,3246,3253,2317,2322,202298,70,2333,2338,3338,207347,72,2346,3377,2347,209333,3394,3406,2355,3430,212206,2361,214008,73,2365,3489,215214,2368,3498,2369,73,216560,73,217424,3528,218176,2378,3553,219751,2385,220094,220364,74,220715,74,3599,2391,221610,74,2397,2399,222432,2401,222744,74,2403,222866,223228,74,2406,3633,74,2409,74,2409,74,2410,224667,3645,74,74,3655,2415,3656,74,2417,225767,3661,225838,74,225881,2418,226011,3665,226118,226200,3667,226295,2423,226435,2424,226608,226687,3677,2425,74,2426,74,2429,2429,3689,2430,3690,74,227588,74,227606,2430,227725,3692,74,2430,3692,2430,227842,2431,3692,74,227920,3692,74,74,2432,228012
