121993,122917,123469,124187,130580,131234,131472
363661,365857,367512,368977,384802,388195,389857
1367250,1367250,1367250,1367250,1367250,1367250,1367250
14640,14797,14876,14994,15801,15978,16056
317,317,317,317,320,320,320
713232,728892,740514,749456,824624,846137,858500
907605,918128,924704,932597,990473,997050,999680
69336,72342,74221,76100,94703,97897,99776
45160,45680,46027,46460,51141,52788,53394
180595,180814,181034,181034,182350,182570,182789
56019,61310,63955,65511,106125,109859,111571
350,393,417,427,617,660,685
84208,96543,115163,133783,335948,375111,392179
89189,92223,95257,98291,129089,135593,138626
2950443,2997140,3043837,3090534,3384725,3428832,3446874
27357,27461,27564,27702,28529,28632,28667
2865399,3002866,3140332,3277798,4252460,4392176,4447163
1670,1696,1732,1777,2050,2118,2142
11159,11515,11871,12109,15647,16264,16652
42220,43805,45390,46974,67388,70557,72142
167,189,210,232,484,546,567
14221,14419,15574,19203,22569,23162,23426
33516,34462,35408,36354,44867,46760,47706
1152415,1160202,1166431,1172660,1213151,1219380,1222495
629423,633806,638188,642570,671165,675548,678397
370,392,422,452,981,1121,1187
11992,12049,12106,12160,12313,12344,12359
1066,1089,1112,1135,1384,1443,1458
157245,166448,171449,176451,243070,260275,265276
4424,4585,4815,5045,6486,6857,7067
77216,83530,117848,152166,471530,547030,584780
5626,5757,5889,6021,6968,7165,7259
69681,74326,78971,83617,125426,134717,139362
2152,2307,2518,2704,3687,3842,3923
385872,396354,406836,416663,493314,510347,518864
977783,1000773,1019516,1038426,1147735,1155477,1156667
277,304,309,317,411,422,429
29655,29768,29843,29956,30783,30971,31008
40199,41619,42783,43848,50676,52095,52805
16446,17245,18045,18844,25527,26593,27126
394,395,400,411,581,600,602
124,126,128,131,139,141,141
3449,3480,3517,3559,3892,3968,4004
67565,70911,74256,77602,132542,139233,142579
124,131,138,145,209,223,229
72597,72902,73206,73502,75072,75376,75521
8184,8273,8363,8453,9237,9764,9854
392215,403553,419084,428091,537956,563675,572621
29231,30263,31352,32441,43159,45509,46369
506,506,529,650,759,885,885
1952,2112,2272,2432,3574,3788,3835
288063,297704,307346,316988,420806,444539,454937
103977,106055,108073,109970,118729,120182,121192
5339517,5431574,5505680,5563215,6066650,6156866,6191387
1938,2009,2076,2125,2479,2537,2557
20564,20896,21228,21529,24424,25057,25117
102105,102237,102369,102501,103194,103325,103391
1783,1800,1836,1857,2061,2072,2079
104473,107653,109203,110753,122601,124822,126570
19639,21033,22300,23377,33133,35096,35920
227098,227997,229196,230094,240281,241479,242378
609722,613687,616858,619237,639852,645402,647781
7880,7986,8061,8135,8569,8654,8707
1427,1523,1598,1617,1758,1769,1769
1047488,1054246,1061004,1065059,1104256,1111014,1112365
95953,109233,125898,142563,292547,325877,342542
701,717,726,736,955,962,966
11435,11632,11846,11988,13505,13844,13987
2046,2111,2207,2304,2949,3206,3303
598204,598935,600395,601126,606239,606969,607699
234068,236971,241272,242872,262491,265159,266701
1910323,1988540,2055493,2121977,2603244,2702383,2741492
31072,31278,31484,31690,32888,33043,33120
17305,17594,17810,18075,19567,19712,19808
9203,9264,9336,9385,9798,9907,9943
44307,44869,45204,45431,47668,48005,48163
14610,16635,18412,20189,36820,43216,46415
4798,5398,5698,5998,34486,34786,35086
2560,3028,3707,4386,11265,13029,13911
147,155,162,169,223,249,262
38578,38668,38758,38848,39984,40164,40254
144042,144042,144042,144042,147550,148499,148689
147949,149455,151372,153104,163351,164336,164952
1904803,2026538,2133952,2262848,3344146,3551812,3666387
1091586,1114193,1142691,1154773,1276170,1294789,1307061
28514,28549,28584,28619,28899,28934,28969
1742,1840,1937,2018,2752,2878,2910
33230,33517,33689,34091,36788,39141,40806
22395,22567,22739,22912,23348,23471,23509
123647,124360,125251,125963,130596,131843,132556
456914,468903,474898,480892,514195,521522,525518
1824,1901,1977,2049,2626,2733,2787
745328,756019,766711,775874,882786,902641,911805
53026,55292,57444,59144,76480,82145,84978
2260,2360,2423,2489,2833,2896,2926
83965,88196,93486,99328,132147,141608,145130
121388,121535,121535,121535,121827,121827,121827
3768,3773,3782,3796,3862,3895,3900
389338,420757,452175,483594,735193,789652,812734
39855,41768,43681,45594,64724,73652,78116
10478,10504,10517,10517,10581,10593,10606
523913,524571,525229,526546,531153,531811,532469
186802,187837,188613,192236,212934,215263,215521
116777,116946,117284,117453,123199,134691,139254
153825,154398,154924,155426,160408,161410,161911
2511,2527,2534,2541,2670,2693,2704
4444,4466,4488,4510,4724,4774,5638
10855,10916,10962,10992,11373,11434,11480
7655,8768,9880,10993,12712,12995,13198
343184,345418,347652,349886,365879,367815,368783
13132,13290,13445,13574,14632,14869,15072
590,602,624,645,712,727,735
10026,10961,11895,12830,23350,25870,26991
123,124,124,126,138,140,141
4284,4490,4696,4902,5330,5405,5442
149739,153750,157386,160952,191479,197599,200402
2722,3003,3284,3565,5517,6923,7626
80191,82498,84981,87917,106667,110022,111545
40807,41425,42043,42660,48212,49158,49769
2563,2576,2586,2616,2692,2702,2702
1305,1408,1510,1613,3289,3581,3684
4429,4500,4564,4647,5096,5147,5166
107480,107768,108114,108689,111106,111537,111710
85545,86551,87557,88563,97686,98715,99230
27928,27928,27928,27962,27995,27995,27995
1277,1306,1314,1337,1625,1677,1691
2003,2040,2081,2112,2378,2447,2469
8560,8593,8604,8625,8820,8884,8906
8768,8931,9152,9302,10789,11073,11183
190040,190541,191292,191793,195048,195548,195799
4024,4035,4040,4065,4239,4239,4239
1388,1402,1411,1421,1516,1529,1543
8356,8370,8385,8399,8602,8631,8645
65753,65999,66245,66573,68048,68294,68294
26674,26985,27192,27296,28369,28611,28680
127629,130644,132866,137423,158220,167195,169973
4312073,4530635,4749197,4967759,7135892,7400200,7532353
40230,40380,40460,40492,41306,41520,41669
59995,60248,60482,60703,62193,62406,62484
136085,136996,137724,138271,143007,143736,144100
3426,3444,3461,3483,3583,3592,3597
309890,311459,312636,313421,318128,318912,319305
379420,412898,442192,467301,643759,698161,728849
713,736,759,781,1469,1605,1673
704828,740672,776516,812360,1111008,1197360,1233204
323619,324010,324010,324010,325184,325576,325576
4650,4650,4654,4656,4667,4667,4667
4386,4449,4482,4502,4682,4776,4826
349605,374125,398645,423165,603925,628445,644628
896,897,901,903,944,946,946
4788,4820,4853,4892,5204,5289,5308
4336,4352,4374,4391,4523,4534,4545
256565,259059,261197,263335,278658,281152,282578
228753,230200,231446,232623,247582,250675,251851
33595,35835,38075,39717,47332,51812,54052
1618,1654,1678,1692,1794,1814,1836
144456,146306,148155,150365,173706,178330,180041
97,102,107,114,164,177,183
25078,25140,25203,25234,25734,25859,25891
2433,2574,2714,2855,4259,4728,4962
9186,9211,9231,9247,9406,9440,9453
19962,20013,20088,20138,20666,20766,20791
68,74,80,85,106,110,112
12689,12755,12821,12904,13270,13320,13436
1191,1202,1221,1241,1365,1383,1393
226485,231529,236573,241618,345024,365705,374280
6623,6742,6862,6935,7395,7460,7478
99929,107287,113037,118459,177747,190913,197497
452,468,481,492,567,577,591
45981,46096,46210,46439,47585,47699,47699
3375325,3435936,3486849,3535915,3763753,3806238,3829328
738469,776881,815293,853705,1167146,1243778,1282190
23596,26426,27918,29411,38130,38259,38323
85324,85659,85993,86217,88336,88559,88782
200149,201516,202336,203430,209445,210539,210812
26329,26724,27119,27517,29891,30180,30343
28762,29066,29371,29600,31124,31428,31581
2725,2825,3000,3057,3551,3645,3689
10464,10622,10752,10853,11502,11617,11660
547918,558476,568648,578820,659641,676774,685340
142898,143091,143284,143477,145211,145596,145847
13704,14186,14669,15060,18294,19048,19392
2782,2813,2844,2863,3051,3078,3086
1958,2080,2202,2324,3126,3259,3326
77598,79358,81119,82744,98182,102245,104141
299,315,329,333,386,393,398
5868937,6251030,6633122,7015214,10614524,11421163,11824482
588,618,645,670,828,845,849
69314,70125,70531,70937,72967,73271,73373
63176,64787,66398,67894,82623,85385,86881
23333,23557,23781,23979,25341,25580,25689
38743,39174,39705,40244,43606,44253,44576
4265,4354,4453,4506,5043,5122,5157
51222,51414,51529,51647,52230,52326,52374
5739,6049,6359,6684,9502,10033,10298
631560,634778,636387,638801,650869,654087,655696
28893,29242,29635,30290,33650,35047,35352
6252,6357,6494,6620,7725,7904,8031
240543,242676,244809,247354,269017,273331,275160
208744,209249,209970,210237,213914,214469,214714
460,460,460,460,5305,7162,8090
20387,20493,20572,20651,21309,21441,21546
1742067,1761003,1779938,1798874,1939537,1963883,1974703
9895,10555,11214,12290,26698,30623,31943
7400,7441,7487,7532,7742,7834,7862
12263,12263,12268,12276,12308,12322,12323
792301,817481,831869,846257,1086057,1144569,1178141
3902,4026,4143,4230,4805,4922,4966
17641,17993,18236,18587,20883,21262,21478
284944,286093,287037,287910,294547,296091,297240
11729,11908,12126,12504,14631,15347,15605
295815,297825,301844,305863,324754,327969,330381
76339,76734,76932,77228,79302,79697,79894
14309,15263,16217,17171,25757,27665,27933
4261,4270,4280,4283,4349,4353,4356
2436934,2483237,2529540,2548062,2687782,2710933,2722162
1256,1271,1278,1286,1362,1377,1384
186527,188005,188808,189466,198932,201333,202136
14143,14307,14430,14594,16213,16480,16582
29473,29675,29836,29998,31128,31411,31492
6634,6642,6650,6659,6707,6732,6732
2715,2733,2740,2761,2888,2909,2909
27291,29133,34574,38435,58705,62128,63795
238304,247115,252673,257417,301947,312791,318213
6290,6556,6821,7014,8314,8845,9110
28803,28956,29071,29224,30524,30792,30983
100075,101158,102242,103145,110913,112177,112900
43024,44679,46333,47988,54608,54608,54608
14145,15045,15944,16844,22962,24084,24678
3618,3654,3685,3711,3984,4051,4077
726496,729929,732401,734690,755289,760690,764124
652083,660338,666452,672567,718500,726546,730569
4161,4179,4193,4207,4291,4303,4313
56789,57018,57247,57475,58256,58359,58396
315095,317664,319804,321517,342923,346776,348488
91686,92322,93078,93866,100849,102231,102887
60750,62255,63254,64146,70643,71981,72721
8031,8093,8145,8186,8434,8476,8486
2565,2568,2578,2591,2684,2700,2707
21933,22206,22547,22785,25685,26401,26606
4062,4099,4126,4137,4353,4391,4407
440,444,447,453,493,501,504
19183,19878,20806,21146,26628,27664,28143
65038,66058,66442,66892,71657,72351,72587
70545,70986,71708,71988,76805,77423,77667
419357,426689,434020,442671,525245,546542,557549
289838,290699,291560,292422,326444,327305,329028
1294,1362,1475,1588,2174,2322,2389
2055,2060,2070,2076,2122,2125,2130
12771,13204,13637,14070,17159,17722,18003
1675495,1740331,1808579,1880240,2450113,2562723,2617322
22087,22142,22196,22223,22551,22605,22632
17009,17110,17201,17298,18163,18308,18354
7424,8299,9173,10048,14389,14730,14853
4879,4891,4910,4923,5041,5048,5054
61795,61872,61948,62025,62714,62791,62791
42682,43039,43263,43464,44224,44314,44358
49319,49319,49378,49378,49497,49497,49497
1285,1290,1294,1296,1300,1300,1300
2995,3120,3197,3259,3840,3944,4011
5169,5182,5189,5202,5293,5299,5306
812,813,814,814,829,831,833
379563,380605,381617,382630,388730,389558,389963
11872,13344,14815,15817,16670,16830,16917
20103,20129,20179,20204,20555,20656,20681
255940,294489,328969,333606,426093,432806,434748
478,483,488,498,550,562,572
1698,1735,1763,1795,2021,2086,2086
65500,69459,73419,77378,113014,120933,124893
162442,163450,164458,165466,174537,176553,177561
