likes.20,likes.22,likes.23,shares.26,views.28,shares.34,shares.49,likes.49,likes.53,likes.54,likes.63,shares.65,likes.66,likes.88,comments.98,shares.100,shares.107,shares.121,comments.122,shares.129,comments.149,likes.150,likes.160,shares.165,likes.165,likes.168,views.168
2930,3106,3196,3165,218338,3664,4212,3919,3959,3969,4021,4493,4029,4151,369,4832,4856,4875,372,4885,375,4220,4223,4916,4224,4225,351137
1386,1416,1426,512,72452,539,562,1572,1577,1578,1591,569,1592,1603,61,573,573,574,61,574,61,1617,1617,578,1617,1617,88149
978,1012,1029,271,100143,287,302,1156,1158,1160,1172,312,1175,1185,169,324,325,327,169,328,170,1193,1193,329,1193,1193,116597
67883,73219,74879,281874,10456449,336692,403915,104250,106287,106848,111124,434764,112132,116471,7370,456338,457763,460497,7480,461451,7592,120799,121198,464447,121397,121472,18655415
1174,1216,1233,3154,231667,3547,4525,1415,1420,1421,1441,5078,1442,1476,975,5797,5894,6138,1000,6206,1029,1512,1514,6573,1517,1517,436438
3168,3214,3244,649,134484,699,729,3560,3578,3584,3603,750,3609,3626,149,764,767,769,149,774,149,3662,3667,789,3668,3668,157322
5945,6091,6165,2077,392127,2340,2592,6963,7007,7022,7158,2834,7228,7557,691,3167,3194,3222,700,3242,707,7729,7737,3277,7743,7744,655080
12080,14734,15983,88984,3264113,154418,289158,65473,73824,75564,86503,367760,87695,108246,5123,472560,482454,492131,5396,498685,5578,120603,121293,515581,121555,121730,18545567
8015,8290,8408,12999,1227406,14732,17279,9933,10051,10082,10330,18644,10402,10768,1046,20630,20859,21159,1066,21356,1102,11321,11361,21866,11379,11393,2094083
1867,1939,1978,2450,159161,2719,3153,2285,2307,2310,2333,3320,2345,2370,74,3599,3614,3644,74,3660,74,2427,2430,3692,2432,2432,228012
4141,4254,4294,1732,156322,1839,2017,4740,4772,4781,4845,2130,4867,4901,217,2219,2229,2252,220,2262,224,4964,4971,2289,4975,4980,204031
10732,10986,11071,10061,668751,10889,11782,12303,12389,12404,12525,12149,12565,12662,758,12361,12368,12373,760,12385,764,12738,12748,12418,12755,12757,861457
3011,3111,3149,1455,176243,1566,1816,3612,3622,3624,3651,1926,3656,3705,174,2022,2024,2031,174,2034,174,3718,3718,2037,3718,3718,239391
1356,1391,1414,335,82783,367,393,1617,1627,1628,1641,405,1642,1662,72,415,416,418,72,418,72,1664,1664,418,1664,1664,99903
10232,10437,10594,24952,1037634,31697,38141,14486,15031,15147,15968,45466,16163,17298,1292,52297,53406,54846,1354,55777,1395,18262,18357,57419,18368,18379,2401060
1606,1653,1680,589,70350,634,664,1931,1939,1939,1948,680,1951,1958,142,697,698,699,142,699,142,1963,1963,699,1963,1963,84662
1090,1195,1232,1166,66794,1357,1567,1539,1554,1556,1573,1724,1581,1625,56,2019,2019,2020,56,2020,56,1631,1631,2020,1631,1631,101959
2672,2763,2807,364,146137,384,409,3095,3101,3103,3114,412,3116,3130,316,417,417,417,316,417,316,3135,3135,417,3135,3135,166887
9933,10262,10406,10846,604997,11995,13668,11993,12060,12081,12255,14441,12294,12452,565,14988,15036,15091,569,15099,569,12555,12569,15132,12577,12579,921144
4166,4305,4375,3756,305084,4151,4869,4990,5015,5020,5060,5146,5082,5163,640,5581,5600,5676,643,5702,651,5242,5248,5809,5251,5251,482693
540,558,566,119,56400,131,140,667,673,674,686,145,687,692,42,147,147,147,42,147,42,693,693,147,693,693,68552
14549,15003,15229,4132,647083,4611,5305,17604,17677,17697,17855,5607,17897,18071,279,5944,5954,5983,280,5996,281,18196,18204,6068,18210,18213,940889
22954,24068,24688,23535,1684779,28875,35645,31601,32191,32319,33000,39899,33163,34097,1231,43451,43800,44238,1251,44526,1269,34906,34952,45421,34995,35020,3443341
124353,135500,140010,91285,6221594,105490,130550,191492,195460,196087,201309,144063,203304,210546,13531,158599,159497,161180,13680,161755,13810,216093,216896,164530,217437,217670,12534857
2140,2228,2259,662,214879,729,807,2579,2588,2589,2596,838,2601,2619,686,855,860,864,688,866,688,2629,2629,867,2629,2630,271561
34145,36151,37246,44604,2829231,55651,66201,50270,51069,51228,52397,72231,52659,54154,2590,77811,78196,78650,2623,78868,2632,55129,55171,79489,55191,55207,5348076
1786,1855,1878,1060,194452,1094,1142,2086,2090,2092,2106,1163,2111,2131,153,1180,1180,1183,154,1183,154,2142,2142,1189,2142,2142,219110
7364,7493,7554,2989,326534,3168,3391,8092,8122,8127,8157,3498,8163,8208,182,3580,3587,3597,182,3601,182,8245,8246,3606,8247,8248,386750
5926,6062,6160,2649,289280,2785,3020,6680,6699,6708,6727,3126,6732,6768,176,3167,3171,3171,176,3171,176,6787,6790,3185,6790,6793,346060
2784,2843,2866,1253,98696,1301,1337,3045,3046,3047,3052,1342,3052,3056,102,1344,1344,1344,102,1344,102,3061,3061,1348,3062,3062,108110
2146,2173,2185,1774,123656,1856,1976,2332,2336,2336,2337,1998,2339,2346,50,2019,2020,2031,50,2031,51,2351,2351,2032,2351,2351,140379
6171,6396,6479,9584,712061,11416,14431,8022,8138,8161,8372,16321,8460,8782,1052,18104,18218,18440,1065,18502,1076,9029,9049,18939,9060,9072,1459499
3248,3321,3355,1132,121570,1222,1336,3656,3661,3664,3677,1361,3682,3694,211,1384,1388,1393,211,1393,211,3709,3711,1397,3713,3713,145033
775,792,798,275,80829,298,309,858,859,859,861,313,862,863,65,313,314,314,65,315,65,865,866,315,866,866,91692
