title.sentiment,shares.15,comments.15,comments.17,shares.18,views.19,likes.20,views.21,comments.21,likes.22,views.23,comments.24,views.25,likes.26,views.27,likes.27,likes.29,likes.30,comments.31,likes.31,shares.32,likes.32,shares.34,likes.35,comments.36,comments.38,likes.42,views.44,likes.45,likes.46,likes.49,comments.50,comments.51,likes.51,likes.54,likes.55,comments.56,likes.56,likes.62,views.63,shares.63,likes.63,comments.64,views.65,comments.65,views.67,likes.67,likes.68,comments.70,comments.72,views.74,likes.76,likes.77,views.78,likes.78,views.79,shares.80,likes.80,views.81,shares.81,likes.81,shares.83,views.87,views.92,comments.94,comments.95,shares.97,comments.98,comments.99,comments.101,views.102,comments.103,likes.106,shares.107,likes.107,likes.108,likes.110,views.112,likes.112,comments.113,comments.115,shares.116,views.118,shares.118,likes.119,shares.122,comments.122,likes.125,comments.128,shares.129,likes.130,likes.132,comments.133,likes.133,likes.135,views.136,comments.139,views.143,likes.145,views.146,shares.147,likes.147,views.148,likes.150,views.151,shares.152,comments.152,likes.161,likes.163,views.164,likes.165,views.166,comments.166,likes.168,views.168
4.651,2018,235,248,2269,148963,2930,160000,265,3106,177844,286,196543,3385,211203,3433,3541,3594,322,3632,3592,3660,3664,3715,333,337,3810,273798,3853,3873,3919,352,353,3941,3969,3977,357,3983,4015,308951,4457,4021,361,311230,361,313368,4035,4040,363,364,322681,4104,4109,327421,4112,328473,4709,4125,330149,4716,4128,4732,333692,335857,368,368,4818,369,369,369,341268,370,4185,4856,4186,4186,4188,343374,4190,372,372,4867,344611,4869,4197,4879,372,4200,372,4885,4201,4203,374,4203,4204,347725,374,348702,4213,349081,4905,4214,349419,4220,349837,4912,375,4223,4223,350785,4224,350942,376,4225,351137
4.566,425,50,50,443,60093,1386,63632,53,1416,66526,55,69044,1464,71450,1478,1500,1510,59,1518,535,1524,539,1539,59,60,1557,79898,1567,1570,1572,61,61,1575,1578,1581,61,1582,1590,83568,569,1591,61,83728,61,83904,1592,1592,61,61,84570,1597,1598,85065,1599,85127,569,1601,85246,569,1601,569,85751,86178,61,61,572,61,61,61,86730,61,1612,573,1612,1613,1613,86990,1614,61,61,574,87169,574,1616,574,61,1617,61,574,1617,1617,61,1617,1617,87611,61,87714,1617,87750,576,1617,87784,1617,87823,578,61,1617,1617,88066,1617,88110,61,1617,88149
3.721,200,136,144,218,86726,978,90592,152,1012,93942,158,97032,1072,99138,1078,1092,1099,163,1104,283,1110,287,1126,165,165,1141,107911,1149,1150,1156,165,165,1156,1160,1161,165,1162,1171,111262,311,1172,165,111549,165,111872,1176,1177,168,168,112638,1181,1182,112942,1182,113036,317,1182,113198,317,1183,317,113505,113946,168,168,323,169,169,169,114656,169,1190,325,1190,1190,1191,115108,1191,169,169,327,115431,327,1191,327,169,1192,169,328,1192,1192,169,1192,1192,115972,169,116167,1192,116223,329,1192,116249,1193,116300,329,170,1193,1193,116521,1193,116570,170,1193,116597
3.851,162042,2812,3297,209293,7561286,67883,8596340,4280,73219,9192173,4624,9645940,78937,10146300,80377,83501,85040,5258,86490,323329,87866,336692,91816,5711,5857,99312,14786005,101907,102594,104250,6549,6585,105244,106848,107382,6743,107882,110720,16759795,431824,111124,6962,16909181,6988,17045295,112426,112717,7081,7112,17366589,114440,114628,17495199,114795,17527027,447588,115141,17585453,448080,115293,449221,17784715,17922689,7345,7350,455439,7370,7375,7382,18080125,7388,118135,457763,118205,118283,118480,18223530,118668,7449,7461,459751,18301443,460043,119114,460632,7480,119448,7501,461451,119756,119889,7521,119966,120098,18460807,7553,18517188,120597,18533484,463316,120680,18544685,120799,18559461,463686,7599,121244,121330,18638793,121397,18647758,7628,121472,18655415
4.901,1950,552,594,2390,178109,1174,191816,653,1216,204869,688,216919,1280,227747,1289,1304,1309,747,1315,3398,1318,3547,1348,801,823,1389,307519,1398,1402,1415,891,894,1419,1421,1423,902,1424,1439,351878,5004,1441,933,356066,935,359590,1443,1444,943,946,369475,1456,1457,372272,1458,372881,5377,1459,374928,5403,1461,5468,384048,389613,972,973,5767,975,975,975,396704,976,1487,5894,1487,1487,1489,406109,1492,990,993,6082,411655,6109,1496,6153,1000,1499,1004,6206,1504,1504,1010,1504,1505,421087,1022,426598,1511,428062,6459,1512,428543,1512,429299,6488,1029,1515,1516,434279,1517,435447,1035,1517,436438
3.95,570,127,131,604,122233,3168,124961,136,3214,127283,138,130289,3329,133207,3356,3401,3419,142,3436,692,3448,699,3491,143,143,3542,145355,3552,3552,3560,143,143,3568,3584,3586,144,3589,3601,150289,750,3603,146,150655,146,151028,3610,3611,146,146,152049,3619,3620,153090,3621,153220,759,3622,153506,760,3623,761,154068,154416,148,149,763,149,149,149,155046,149,3638,767,3638,3639,3640,155581,3642,149,149,769,155758,769,3644,769,149,3646,149,774,3650,3651,149,3651,3652,156453,149,156671,3660,156756,785,3661,156828,3662,156924,786,149,3667,3668,157278,3668,157300,149,3668,157322
4.496,1625,483,503,1733,310012,5945,327475,540,6091,348230,564,367604,6377,383982,6444,6545,6585,599,6629,2288,6662,2340,6760,613,615,6883,467072,6915,6928,6963,633,633,6984,7022,7037,641,7050,7132,533630,2800,7158,656,541104,657,550530,7256,7274,664,667,584656,7470,7477,595331,7484,597101,3034,7493,599941,3042,7497,3058,609380,616888,691,691,3147,691,692,696,630794,696,7652,3194,7653,7655,7660,637115,7664,699,699,3212,639866,3215,7681,3225,700,7691,703,3242,7697,7701,703,7702,7703,646840,705,649424,7719,650490,3265,7723,651219,7729,652253,3269,708,7739,7741,654427,7743,654759,708,7744,655080
5.447,25986,541,567,34060,1217743,12080,1724205,767,14734,2212638,1001,2618167,18944,3044398,19923,22449,24050,1413,25889,135207,27975,154418,34222,1775,1855,39720,6800620,50904,55381,65473,3115,3218,69996,75564,77213,3600,78997,86166,12089186,365644,86503,3940,12187560,3957,12436494,88977,90756,4250,4406,13910255,101737,102557,14473847,103333,14599784,435551,104802,14874927,438485,105572,443542,15292558,15571174,5018,5046,467930,5123,5142,5182,16464223,5220,115942,482454,116227,116437,116645,16912930,116765,5313,5325,487637,17162335,489697,117803,492876,5396,118494,5457,498685,119187,119410,5497,119478,119551,17777063,5519,17969566,120235,18050236,507549,120371,18107299,120603,18198665,510617,5601,121323,121427,18463807,121555,18506744,5665,121730,18545567
4.138,8725,622,662,10118,925235,8015,1007794,751,8290,1078244,792,1146282,8748,1203729,8830,8955,9019,853,9088,14330,9142,14732,9313,878,893,9655,1524002,9799,9836,9933,953,955,9987,10082,10108,967,10136,10309,1724740,18488,10330,985,1740951,991,1762296,10432,10463,1005,1008,1821746,10616,10631,1842894,10646,1848621,19769,10674,1860168,19836,10688,19948,1885393,1909820,1039,1040,20528,1046,1047,1047,1950177,1049,10933,20859,10940,10948,10966,1979704,10976,1057,1060,21056,1997017,21098,11021,21186,1066,11079,1077,21356,11134,11159,1087,11173,11187,2040797,1091,2057521,11287,2063317,21661,11302,2066660,11321,2072540,21743,1104,11364,11372,2089748,11379,2092382,1111,11393,2094083
4.03,1563,44,47,1864,124537,1867,133829,55,1939,142285,59,150046,2048,156234,2069,2110,2130,63,2145,2693,2154,2719,2176,65,65,2240,188147,2263,2270,2285,70,70,2300,2310,2313,70,2317,2330,204107,3288,2333,71,205763,72,207347,2346,2346,72,72,211643,2361,2363,214008,2364,214442,3487,2365,214962,3488,2365,3490,216128,218176,74,74,3570,74,74,74,222013,74,2401,3614,2402,2403,2403,223228,2406,74,74,3633,224163,3635,2409,3645,74,2415,74,3660,2417,2417,74,2418,2419,226011,74,226687,2426,226909,3686,2426,227176,2427,227416,3689,74,2430,2431,227897,2432,227946,74,2432,228012
