likes.57,comments.69,likes.87,views.100,comments.168,likes.168
3989,363,4150,340500,376,4225
1584,61,1602,86643,61,1617
1163,166,1185,114530,170,1193
108368,7065,116325,18053077,7633,121472
1426,943,1475,395742,1035,1517
3593,146,3625,154882,149,3668
7057,662,7546,628881,708,7744
80754,4171,108111,16323817,5670,121730
10166,1001,10756,1942374,1115,11393
2322,72,2369,221202,74,2432
4801,213,4900,196826,230,4980
12444,752,12659,850533,768,12757
3629,172,3702,235342,175,3718
1635,72,1661,98745,72,1664
15453,1177,17253,2145066,1414,18379
1940,140,1958,83683,142,1963
1562,54,1625,100381,56,1631
3108,315,3130,165463,316,3135
12149,557,12447,904251,571,12579
5027,628,5159,461392,652,5251
675,42,692,67924,42,693
17737,275,18065,923594,281,18213
32595,1165,34076,3274034,1286,35020
197837,12977,210343,11920960,13907,217670
2590,677,2619,268371,688,2630
51624,2483,54123,5177564,2635,55207
2097,153,2130,215930,154,2142
8142,177,8207,382124,182,8248
6716,173,6767,342744,176,6793
3049,102,3056,107467,102,3062
2337,50,2346,139152,51,2351
8235,998,8772,1384612,1088,9072
3672,211,3694,143133,211,3713
859,64,863,91320,65,866
2599,294,2618,234718,299,2662
2547,171,2557,126484,173,2567
3002,154,3037,179347,162,3057
2526,65,2583,165102,69,2632
1391,114,1399,132302,120,1416
2080,330,2094,177744,332,2099
2121,623,2137,194742,627,2147
2028,797,2046,217523,801,2064
52301,12852,53986,12194937,13291,54798
4470,352,4487,195153,354,4512
3614,1485,3863,831304,1564,3951
3711,1353,3741,423510,1370,3753
7304,436,7377,387933,447,7434
3130,83,3150,102239,85,3164
13572,690,13867,973400,713,14300
1985,111,2009,153756,126,2145
699,397,701,92569,400,707
1406,80,1418,114705,84,1419
2086,194,2104,81225,194,2116
5890,526,5980,486198,540,6057
1006,100,1015,100751,103,1020
9681,315,9890,813540,329,10093
3579,422,3601,149443,429,3618
3921,428,3971,276687,444,4040
3990,272,4010,159098,275,4026
2598,426,2621,151563,428,2631
8585,337,8662,469818,347,8777
2759,51,2773,72378,52,2783
4003,646,4079,208505,701,4153
3598,837,3625,438208,855,3687
15841,502,15933,493285,510,15970
1597,143,1623,131913,221,2309
10477,1259,10638,1220928,1269,10777
2678,276,2694,147022,277,2714
4647,229,4675,261487,232,4704
3412,497,3483,482877,549,3650
3196,362,3220,199788,368,3235
2860,106,2890,127204,106,2911
6069,106,6123,174645,106,6135
1895,109,1920,110553,110,1926
1965,410,1978,204447,412,1983
4249,419,4283,160547,428,4321
6493,863,6583,705625,897,6645
10325,335,10395,404458,339,10446
4443,191,4493,250949,195,4510
7900,471,7984,521486,479,8029
9113,1955,9328,1013718,1996,9458
1240,122,1246,115168,122,1249
1495,133,1517,133592,167,1553
11267,717,11647,915334,786,12297
2995,114,3019,191095,115,3057
2134,127,2151,177673,127,2189
20455,1892,20582,800373,1916,20650
707,84,712,60154,84,714
2894,467,2904,266205,473,2931
1887,133,1894,110361,133,1900
1676,515,1706,258287,543,1782
2709,191,2737,203891,195,2760
2100,125,2138,88902,125,2147
